,Fabric,Base Price ,35,50,75,100,150,500,,,
Men’s Clothing,,,,,,,,,,,
Sweatshirts,,$20,$37,-2%,-5%,-7%,-10%,-15%,,,
Hoodies,,$20,$37,,,,,,,,fabrics
T-shirts,,$9,$14,,,,,,,,pricing 
Long Sleeves,,$9.70,$16.00,,,,,,,,markup for custom
Tank Tops,,$9,$14,,,,,,,,new products need to add to image
shorts,,$15,$23,,,,,,,,MOQ 
sweatpants,,$20,$25,,,,,,,,
vest jacket ,,$13.00,$60,$55,$50,$45.00,-2%,-5%,Shipping and tax +8.5% markup of total cost ,,
polo shirts,,$12,$22,,,,,,Custom products similar to catalog 25% markup ,,
sports shirt,,$8.50,$14.00,,,,,,anything completly custom say we will get back to you with quotes in less than 12 hours,,
sports shorts,,$6,$12,,,,,,,,
quarterzips,,$20,$37,,,,,,,,
jacket (new) ,,$29.30,$60,$55.00,-2%,-5%,-7%,-10%,,,
,,,,,,,,,,,
Women's Clothing,,,,,,,,,,,
Knit Sweaters,,waiting for price ,$50,-2%,-5%,-7%,-10%,-15%,,,
Sweatshirts,,$20,$37,,,,,,,,
T-shirts,,$9,$14,,,,,,,,
Hoodies,,$20,$37,,,,,,,,
Long Sleeves,,$9.70,$16.00,,,,,,,,
Tank Tops,,$9,$14,,,,,,,,
Skirts,,$15,$25,,,,,,,,
sweatshorts,,$15,$23,,,,,,,,
sweatpants,,$20,$25,,,,,,,,
vest jacket ,,$13.00,$60,$55,$50,$45.00,-2%,-5%,,,
polo shirts,,$12,$22,,,,,,,,
sports shirt,,$8.50,$14.00,,,,,,,,
sports bra,,$8,$16,,,,,,,,
sports shorts,,$6,$12,,,,,,,,
quarterzips,,$20,$37,,,,,,,,
jacket (new) ,,$29.30,$60,$55.00,-2%,-5%,-7%,-10%,,,
,,,,,,,,,,,
Other Accessories,,,,,,,,,,,
tote bags,,$5,$9,,,,,,,,
socks (new),,,$12.50,-2%,-5%,-7%,-10%,-15%,,,
baseball hats,,$5,$17,,,,,,,,
Stationery,,,$1.20,-2%,-5%,-7%,-10%,-15%,,,
Mugs,,$4,$8,,,,,,,,
Bottles,,$8.50,$16.00,,,,,,,,
Notebooks,,,$5,-2%,-5%,-7%,-10%,-15%,,,
Tumblers,,$8.50,$16.00,,,,,,,,
umbrella,,$7,$15,,,,,,,,
pillow ,,$11,$22,,,,,,,,
stuffed animal ,,$8.50,$14.00,,,,,,,,
beanies,,$7,$18,,,,,,,,
back pack ,,$12,$25,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
 ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
 ,,,,,,,,,,,
